occurrence_year,occurrence_date,division,age_bias,race_bias,religion_bias,sexual_orientation_bias,gender_bias,primary_offence,arrest_made,bias_type
2018,2018-01-03,D13,NO,NA,Jewish,NA,NA,Wilful Promotion of Hatred,NO,Religious
2018,2018-01-08,D53,NO,NA,Muslim,NA,NA,Assault,YES,Religious
2018,2018-01-10,D14,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-01-19,D12,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-01-19,D52,NO,NA,Muslim,NA,NA,Assault,NO,Religious
2018,2018-01-26,D31,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-01-27,D51,NO,Black,NA,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-02-01,D13,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2018,2018-02-01,D12,NO,NA,NA,2SLGBTQ+,NA,Mischief Under $5000,NO,Sexual Orientation
2018,2018-02-02,D52,NO,NA,Muslim,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-02-05,D43,NO,Black,Jewish,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-02-12,D51,NO,NA,NA,Gay,NA,Assault,NO,Sexual Orientation
2018,2018-02-13,NSA,NO,Black,Jewish,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-02-16,D53,NO,NA,Jewish,NA,NA,Uttering Threats - Bodily Harm,NO,Religious
2018,2018-02-17,D22,NO,NA,NA,NA,Transgender Woman (Identifies As Woman),Assault,NO,Gender
2018,2018-02-20,D52,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-02-21,D55,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-02-22,D31,NO,NA,Jewish,NA,NA,Mischief Under $5000,NO,Religious
2018,2018-02-23,D51,NO,NA,NA,NA,NA,Assault,YES,Age
2018,2018-02-24,D32,NO,Black,Jewish,NA,NA,Mischief Under $5000,NO,Racial
2018,2018-02-27,D52,NO,Black,NA,NA,NA,Assault,YES,Racial
2018,2018-03-01,D31,NO,NA,NA,NA,NA,Criminal Harassment,NO,Age
2018,2018-03-05,D31,NO,Black,NA,NA,NA,Mischief Interfere With Property,NO,Racial
